,id,average_speed,average_angle,average_acceleration,dist_traveled,max_dist,dist_to_line,direction_changes,max_dist_start,triangle_area
3325,3325,6.2129000278086,-56.80119398710928,-0.05760760059313951,35159.80337068011,35.7169949850914,489.3978713474481,12,254.43311069082583,121260141.17325965
3326,3326,6.787328056760304,-9.098915463363497,0.03683046364179661,38216.831912134636,37.385727559366984,1969.7294402087898,6,170.86192058220573,124304553.51943775
3327,3327,6.201018538324843,-36.04914121360633,-0.0031978996236146015,35298.177534448536,38.26223643124572,497.1088996191022,22,125.16792717385715,41757951.00772091
3328,3328,6.563572007544965,-29.219657528687744,0.0071975438195753996,36948.00366530963,41.34515280592687,525.4626349187846,13,188.95295818007168,77345834.38151513
3329,3329,6.362651487288926,51.723278158785796,-0.07140022154690007,34564.95295370085,37.93401749114229,957.0781434644335,13,153.49154880318324,85689170.04930189
3330,3330,5.940027830406175,1.5856777286346218,0.03989539044101976,32950.72162377352,37.569443946031775,487.78385468405037,19,194.53829995144935,47212118.43633095
3331,3331,6.519417542270248,15.841975618967405,0.04720208943732286,36687.68719027023,36.80695457908231,627.8944936739515,14,95.98489160800261,57633372.787865445
3332,3332,5.897560612711867,6.426545778965061,-0.09896124973497124,32675.508514028254,34.93042388189083,1089.5446142392545,20,80.37942678322612,44919845.288798824
3333,3333,6.151490043160332,-15.788991084351874,0.07024936564235325,39966.584785356805,41.413491630129876,1362.8475299622592,21,96.13208598589756,54629047.705719985
3334,3334,5.72514484303404,-39.44060832641601,-0.012892917656361736,27649.12221112971,34.24809896397949,1314.0819109914426,18,113.60609959856897,61691296.75272696
3335,3335,6.086444367084279,70.16111897172613,-0.020883351360408215,38182.24028192067,41.60407031084288,662.8272972158414,11,243.11324478316678,93493506.90368457
3336,3336,6.499127938438086,49.80391608637685,0.05078716952594162,37538.732835364586,37.251341253943664,1163.9799994808222,12,169.5903774552378,51442221.69852172
3337,3337,6.467420189420958,-34.97658138030954,0.05003027299088589,31444.82690873344,45.0573830818573,1184.1704631065215,15,164.20819629653073,84942677.46616027
3338,3338,6.133584020828899,-58.75640763123614,-0.054094710599238746,35622.40490692641,37.13320169089786,631.6877711071432,16,225.9112566473835,81595756.32070535
3339,3339,7.004478398253496,-55.70972585483748,0.04808598388055797,36094.66888918734,37.18958953140228,927.2463450640546,9,221.69731127147213,98282227.66350003
3340,3340,5.825729964186703,-34.53248858254689,-0.0374964686945668,31645.41988887733,36.728972293729804,1575.284871160163,16,160.16000801698283,73992705.30675398
3341,3341,6.338171986448336,-43.75378719743899,0.04720783714490817,39861.73023814613,36.57798501414928,1242.320743990299,14,175.06742986632312,94313232.51487495
3342,3342,6.198875360679175,-33.621776374920046,0.00018494187463137217,33484.42705963789,45.45334720741886,846.0812922461396,22,153.7942273298972,39072061.215982005
3343,3343,5.277844533187709,-4.638869428803148,-0.06427891358369349,30717.827106563902,39.86199911788663,519.7210632064076,20,99.67357164263753,46201965.79365503
3344,3344,7.288664704476553,4.569610055789398,0.09906989880580322,43770.02167609569,40.432322223585494,1780.2545468917854,18,220.38103080120104,81533694.37751263
3345,3345,3.1803421006047503,29.79950534305792,-0.04158141146584526,20336.007854324318,39.29713427598471,133.37582994647903,54,109.36605651206423,43023778.30019701
3346,3346,2.9840532386908145,26.791378386897055,0.09072928968164859,16723.232958473665,35.053066378813796,230.8406782620085,61,81.77025681750037,47488549.74598044
3347,3347,6.924754726866921,47.32827525039431,0.008382408690295348,40574.098631385124,42.585438633598926,720.4753163575269,13,281.607919490912,159252460.76946896
3348,3348,6.65815466290316,79.16088944381839,0.02220407877638438,38992.881135611846,41.309499746891944,817.4001394844164,10,267.4694846613348,138727638.00822994
3349,3349,7.102539881186449,42.85524637241028,0.010562986995691824,41169.18752026277,42.906520915177204,809.4062967371569,14,287.6613614113128,67813556.40902622
3350,3350,6.091990068891126,85.86555914909125,-0.057084298602915716,28647.313333260838,32.17196661690515,290.2924243759575,0,313.0402463796629,217585782.69733825
